repo,primary_dir,superclass,dominant_leaf,commit_count,distinct_authors,first_seen,last_seen,sample_subjects
posx-ugaoo-admin,src/routes,correction,bug_fix,38,5,2026-03-23,2026-09-02,fix: guard against empty hsn_code in cross-check status message | fix: guard against empty hsn_code in cross-check status message | fix: show HSN code in status message and remove default-18% text
posx-comet-backend,docs/prd-implementation,code_health,docs,34,1,2026-08-25,2026-08-25,docs(prd): record merged verification counts | docs(prd): record shared settlement adapter evidence | docs(prd): trace payment security test
posx-frido-backend,src/modules,other,other,34,4,2025-07-11,2026-02-13,chkpt: stn creation | update: combo type logic in backend | WIP: reverse oms (item code return done UC blocked)
posx-comet-admin,src/routes,other,other,32,4,2025-03-10,2026-08-31,manual-payment-entry-min-amt | Use a native-styled modal instead of a dropdown for coupon type selection | Replace hardcoded 2-type create modal with a native DropdownMenu covering all 7 
posx-comet-backend,src/workflows,code_health,refactor,32,9,2025-03-19,2026-08-20,"WIP: coupon stacking config, order persistence, and unit/integration tests | refactor: replace console.log with logger for improved logging in workflows | refactor: remove temporary error throw from exchange order payment workflow"
posx-comet-admin,src/routes,correction,bug_fix,31,10,2025-03-21,2026-08-31,role-filder-fix | comet-hq-fixes | fix: apply CodeRabbit auto-fixes
posx-comet-store,src/pages,other,other,30,9,2025-04-02,2026-09-03,auto-login-use-while-resuming-pending-online-order | Update src/pages/online-orders/details/_layout.tsx | commit
posx-mokobara-backend,src/modules,other,other,30,6,2025-11-05,2026-06-01,Finnoto Integration Final Commit | Finnoto Integration Final Commit | credit note global to manual name change and credit note payment has done then s
posx-eume-store,src/components,other,other,29,6,2025-08-18,2026-08-12,Merge pull request #136 from devx-commerce/feat/store-coupon-auto-apply-no-appro | removed: coupon listing from home page | remove: OOS condition
posx-ugaoo-store,src/components,other,other,29,2,2026-03-11,2026-05-05,remove stn from sidebar | approval model removed | clickup bugs for high and low bugs
posx-ugaoo-backend,.github/workflows,ops_config,ci_build,28,6,2026-03-10,2026-07-21,Change ECS service name from dev to uat | Change ECS service name from dev to uat | update workflow
posx-comet-backend,.github/workflows,ops_config,ci_build,27,6,2025-05-13,2026-08-04,ci: migrate legacy deploy.yml to self-hosted arm64 runner | add: uat deploy file in dev | chore: update runner
posx-mokobara-backend,src/modules,data_schema,data_schema,27,4,2025-11-24,2026-08-01,"chore(migrations): add missing schema migrations for Wondersoft SR→SI linkage | chore(migrations): add missing schema migrations for Wondersoft SR→SI linkage | cleanup: discard blank-line noise, delete unused is_engraving_service migration"
posx-eume-backend,src/workflows,code_health,refactor,25,7,2025-09-10,2026-08-24,"refactor(return-approval): remove the RETURN_APPROVAL_MODE flag | refactor(return-approval): rename kind to type, take the mail, drop the attempt  | refactor(return-approval): remove the RETURN_APPROVAL_MODE flag"
posx-frido-backend,src/api,other,other,25,6,2025-08-07,2026-06-16,email report of completed gatepasses | reconcilation script for gatepasses | feat : get uni order
posx-frido-store,.github/workflows,ops_config,ci_build,24,4,2025-08-11,2026-09-01,ci: migrate deploy workflows to self-hosted GCP runners (#179) | ci: migrate deploy workflows to self-hosted GCP runners | ci: migrate deploy workflows to self-hosted GCP runners
posx-mokobara-store,src/store,correction,bug_fix,24,5,2025-11-26,2026-08-18,fix(inwards): close the remaining gaps in the date guard and API validation | fix(inwards): guard the Inwards Log date range and type its API contract | fix: surface backend error message on return order failure
posx-comet-store,src/components,code_health,refactor,23,7,2025-03-16,2026-07-15,refactor: extract shared transaction action-visibility logic | refactor: remove unused imports and improve code formatting in payment component | refactor: simplify order completion logic in payment details
posx-eume-backend,src/api,correction,bug_fix,23,6,2025-09-05,2026-08-24,revert(return-approval): leave src/api/middlewares.ts untouched | fix(return-approval): make a misconfigured environment say so | revert(return-approval): leave src/api/middlewares.ts untouched
posx-ugaoo-backend,src/modules,correction,bug_fix,23,4,2026-03-20,2026-09-02,revert: remove sku from ShopifyVariant model and sync step (#313) | revert: remove unnecessary migration and snapshot for sku (#312) | fix: use product_variant.sku via link for sample_skus (no migration needed) (#31
posx-mokobara-store,src/pages,other,other,22,4,2025-11-18,2026-08-24,"Reset all per-order state on :orderId change, not just the approver | ix(orders): persist date range, search, and filters across navigation to order-d | exchange flow"
posx-comet-store,src/store,correction,bug_fix,20,5,2025-04-03,2026-08-24,"comet-hq-fixes | fix: address CodeRabbit review findings on PR #199 | fix: type customer address API calls, drop implicit any"
posx-eume-admin,src/routes,correction,bug_fix,20,5,2025-09-11,2026-08-26,"fix(store-coupon): remove Maximum quantity >= Minimum quantity validation | fix(store-coupon): remove Maximum quantity >= Minimum quantity validation | fix(discounts): reject 0% as a max allowed discount, and surface the error"
posx-ugaoo-admin,.github/workflows,ops_config,ci_build,20,3,2026-03-17,2026-07-17,change runs-on | change runs-on | create a uat workflow
posx-ugaoo-admin,src/routes,other,other,20,2,2026-03-11,2026-05-06,Enhance coupon and assortment functionality with BXGY options and UI improvement | WIP: assortment | Bundles: Advanced Filter not working on Admin Panel
posx-ugaoo-store,.github/workflows,ops_config,ci_build,20,4,2026-03-17,2026-07-24,Change runner from ubuntu-latest to X64 | change bucket name | change bucket name
posx-frido-store,src/pages,other,other,19,3,2025-07-23,2026-02-02, feat(reverse-oms): snapmint integrations | update: enhance fallback order form URL handling and improve QR image fetching l | replace+91-compare-for-auto-login
posx-eume-store,src/pages,correction,bug_fix,18,9,2025-09-02,2026-08-24,fix(returns): actually send the verification code | fix(return-approval): remove the now-dead requesterId plumbing | fix(returns): actually send the verification code
posx-eume-store,src/components,code_health,refactor,18,5,2025-09-01,2026-08-12,docs(discounts): correct how the gift card is priced in the control comment | docs(discounts): correct how the gift card is priced in the control comment | refactor(sidebar): extract SidebarContent for drawer reuse
posx-frido-admin,.github/workflows,ops_config,ci_build,18,3,2025-08-06,2026-09-01,ci: migrate deploy workflows to self-hosted GCP runners (#135) | ci: migrate deploy workflows to self-hosted GCP runners (#136) | ci: migrate deploy workflows to self-hosted GCP runners
posx-frido-store,src/pages,correction,bug_fix,18,5,2025-08-11,2026-06-22,fix(payment-details): handle order error state and prevent auto order placement | fix(payment-details): handle order error state and prevent auto order placement | fix: csat export now respects active filters from feedback logs
posx-mokobara-backend,src/workflows,ops_config,ci_build,18,2,2025-11-20,2026-04-14,# feat: implement cart revalidation workflow | Refactor change quantity workflow to validate Shopify inventory availability. Re | Refactor personalization constants and update workflow steps for quantity valida
posx-frido-backend,.github/workflows,ops_config,ci_build,17,3,2025-08-01,2026-09-01,"ci: migrate deploy workflows to self-hosted GCP runners | chore(ci): reset dev to uat, keep dev deploy workflow | chore(ci): migrate to self-hosted GCP runners (#329)"
posx-comet-backend,src/lib,correction,bug_fix,16,5,2025-04-11,2026-08-25,fix(gift-card): validate custom capability bindings | fix(promotion): fail closed in production without authority | fix(prd): validate custom promotion strategy outputs
posx-comet-store,.github/workflows,ops_config,ci_build,16,7,2025-05-13,2026-08-31,ci: restore dev deploy workflow and build:dev script | ci: migrate UAT deploy workflow to self-hosted arm64 runner | chore: updated from gifthub native runner to gcp hosted runners
posx-ugaoo-store,src/pages,correction,bug_fix,16,4,2026-03-25,2026-08-19,"fix: wrap onSubmit in handleSubmit to resolve TS2345 SubmitHandler type error | fix: address CodeRabbit review — remove PIN-exposing log, fix modal close timing | fix: remove unnecessary console logs and clear stale coupon metadata in exchange"
posx-demo-backend,.github/workflows,ops_config,ci_build,15,5,2026-04-21,2026-09-01,deploy-dev: recompute image ref in deploy job instead of build output | ci(dev): trim newline from AWS_REGION/ROLE_ARN in plain OIDC step | ci(dev): run zero JS actions in kaniko build job
posx-frido-backend,src/lib,correction,bug_fix,15,2,2025-07-23,2026-08-26,fix: reject non-finite semaphore capacity and PDF render timeout | fix: bound Puppeteer PDF concurrency and guarantee Chromium cleanup | fix: address CodeRabbit review — guard error-recovery paths
posx-mokobara-store,src/components,code_health,refactor,15,5,2025-12-11,2026-08-07,"refactor(gift-voucher): move code helpers to voucher-utils | refactor: rename loading/error variables, comment out exchange-details route | refactor: use isAddOn instead of isEngravingService for engraving cart items"
